217.34,200.63;35.92,31.31
216.76,205.82;63.56,45.71
235.19,224.82;54.35,31.89
253.62,253.62;47.44,23.25
266.87,243.25;56.65,50.32
194.88,174.72;26.13,14.61
210.43,198.91;5.40,22.10
153.41,179.33;28.43,39.38
191.42,205.24;40.53,26.70
192.57,195.45;86.60,63.56
175.29,198.91;76.23,77.96
136.71,152.83;52.05,65.87
143.62,163.20;45.13,42.25
126.34,143.04;48.01,36.50
118.28,134.98;45.13,33.62
274.35,291.63;17.49,8.85
289.33,304.88;4.24,13.46
294.51,303.15;10.58,29.58
334.25,323.88;73.93,56.65
335.40,350.38;60.11,73.93
441.37,466.71;14.03,9.43
448.28,459.80;7.12,24.98
491.48,488.60;10.00,35.34
496.09,505.88;72.78,94.09
334.25,307.76;33.04,37.65
344.62,356.71;22.67,44.56
352.10,321.58;49.74,45.71
322.16,303.15;18.64,27.28
330.79,340.01;21.52,4.82
348.65,350.38;62.41,35.92
360.17,353.83;74.51,47.44
371.11,391.27;80.84,71.63
391.84,405.09;49.74,67.60
384.93,395.87;36.50,23.25
391.84,399.33;40.53,19.79
399.33,409.12;37.07,19.22
407.97,413.73;39.38,61.84
417.18,426.40;49.17,69.32
318.70,297.39;81.99,75.08
305.45,309.49;54.93,71.63
321.58,322.73;50.89,29.58
372.26,379.75;10.58,26.70
418.91,395.30;31.89,33.04
416.03,410.27;67.60,88.33
393.57,372.84;105.03,85.45
378.60,365.93;125.76,100.42
390.12,378.60;130.95,107.91
359.02,361.32;101.00,126.34
358.44,348.65;121.16,95.24
342.31,331.95;117.70,92.94
315.24,329.07;93.51,112.52
343.47,321.00;138.43,122.31
267.44,246.13;81.42,67.02
98.70,85.45;94.66,79.69
101.00,86.03;105.03,125.19
166.08,187.96;105.61,112.52
159.74,182.78;98.12,100.42
209.27,194.30;113.67,97.54
216.19,198.91;109.64,95.82
221.37,242.10;103.88,107.91
232.89,250.16;112.52,121.16
215.03,234.61;120.01,115.40
206.39,220.22;122.88,116.55
204.09,217.91;91.78,104.46
250.74,262.84;90.06,84.87
323.88,330.79;179.90,198.33
319.85,330.22;159.17,179.33
368.81,375.14;178.75,200.63
354.41,344.62;155.14,139.59
413.73,396.45;144.19,159.17
399.91,382.05;151.11,139.59
407.39,398.75;156.86,174.14
391.84,372.84;168.96,148.80
485.72,468.44;106.76,91.78
290.48,299.12;134.98,114.82
438.49,424.10;137.86,123.46
428.13,413.15;148.23,134.98
437.92,425.82;146.50,162.62
450.59,419.49;160.32,164.93
452.89,429.85;162.05,168.96
453.47,443.68;169.53,189.69
473.05,462.11;145.92,163.20
453.47,453.47;143.62,159.74
473.05,451.16;136.13,147.65
474.78,474.78;164.35,183.93
482.84,473.62;167.23,188.54
496.66,492.63;157.44,175.29
490.33,502.42;144.77,154.56
501.85,511.64;145.92,153.41
448.28,458.65;96.97,113.67
441.37,439.65;106.18,86.03
422.37,426.40;90.06,108.49
384.93,381.48;61.26,45.13
424.67,433.31;14.61,28.43
477.08,479.96;111.37,90.06
471.90,456.35;114.25,96.97
436.19,454.04;67.60,81.42
292.78,278.39;84.30,94.09
293.94,310.06;91.78,80.27
245.56,227.70;183.36,194.88
80.27,95.24;142.47,141.89
75.08,73.35;140.74,124.61
57.23,73.35;124.61,122.88
